kml_file,raw_data,graphs_dir,ts,datetime,year,month,day,time
http://localhost/data/Soundings/08_26_2019.kml,http://localhost/data/Soundings/08_26_2019.zip,http://localhost/data/Soundings/08_26_2019_Graphs,08_26_2019_0000,2019-08-26 00:00:00,2019,8,26,0000
http://localhost/data/Soundings/08_28_2018.kml,http://localhost/data/Soundings/08_28_2018.zip,http://localhost/data/Soundings/08_28_2018_Graphs,08_28_2018_0000,2018-08-28 00:00:00,2018,8,28,0000
http://localhost/data/Soundings/08_28_2019_0800Z.kml,http://localhost/data/Soundings/08_28_2019_0800Z.zip,http://localhost/data/Soundings/08_28_2019_0800Z_Graphs,08_28_2019_0800,2019-08-28 08:00:00,2019,8,28,0800
http://localhost/data/Soundings/08_28_2019_1200Z.kml,http://localhost/data/Soundings/08_28_2019_1200Z.zip,http://localhost/data/Soundings/08_28_2019_1200Z_Graphs,08_28_2019_1200,2019-08-28 12:00:00,2019,8,28,1200
http://localhost/data/Soundings/08_30_2019_1100Z.kml,http://localhost/data/Soundings/08_30_2019_1100Z.zip,http://localhost/data/Soundings/08_30_2019_1100Z_Graphs,08_30_2019_1100,2019-08-30 11:00:00,2019,8,30,1100
http://localhost/data/Soundings/08_31_2018.kml,,http://localhost/data/Soundings/08_31_2018_Graphs,08_31_2018_0000,2018-08-31 00:00:00,2018,8,31,0000
,http://localhost/data/Soundings/08_31_2018_0730Z.zip,,08_31_2018_0730,2018-08-31 07:30:00,2018,8,31,0730
,http://localhost/data/Soundings/08_31_2018_0830Z.zip,,08_31_2018_0830,2018-08-31 08:30:00,2018,8,31,0830
http://localhost/data/Soundings/08_31_2019_1100Z.kml,http://localhost/data/Soundings/08_31_2019_1100Z.zip,http://localhost/data/Soundings/08_31_2019_1100Z_Graphs,08_31_2019_1100,2019-08-31 11:00:00,2019,8,31,1100
http://localhost/data/Soundings/08_31_2019_1500Z.kml,http://localhost/data/Soundings/08_31_2019_1500Z.zip,http://localhost/data/Soundings/08_31_2019_1500Z_Graphs,08_31_2019_1500,2019-08-31 15:00:00,2019,8,31,1500
http://localhost/data/Soundings/09_01_2018.kml,http://localhost/data/Soundings/09_01_2018.zip,http://localhost/data/Soundings/09_01_2018_Graphs,09_01_2018_0000,2018-09-01 00:00:00,2018,9,1,0000
,http://localhost/data/Soundings/09_02_2017.zip,,09_02_2017_0000,2017-09-02 00:00:00,2017,9,2,0000
http://localhost/data/Soundings/09_02_2018.kml,http://localhost/data/Soundings/09_02_2018.zip,http://localhost/data/Soundings/09_02_2018_Graphs,09_02_2018_0000,2018-09-02 00:00:00,2018,9,2,0000
,http://localhost/data/Soundings/09_03_2017.zip,http://localhost/data/Soundings/09_03_2017_Graphs,09_03_2017_0000,2017-09-03 00:00:00,2017,9,3,0000
http://localhost/data/Soundings/09_04_2018.kml,,,09_04_2018_0000,2018-09-04 00:00:00,2018,9,4,0000
,http://localhost/data/Soundings/09_04_2018_1530Z.zip,http://localhost/data/Soundings/09_04_2018_1530Z_Graphs,09_04_2018_1530,2018-09-04 15:30:00,2018,9,4,1530
,http://localhost/data/Soundings/09_04_2018_1700Z.zip,http://localhost/data/Soundings/09_04_2018_1700Z_Graphs,09_04_2018_1700,2018-09-04 17:00:00,2018,9,4,1700
,,http://localhost/data/Soundings/09_04_2019_Graphs,09_04_2019_0000,2019-09-04 00:00:00,2019,9,4,0000
http://localhost/data/Soundings/09_04_2019_1100Z.kml,http://localhost/data/Soundings/09_04_2019_1100Z.zip,,09_04_2019_1100,2019-09-04 11:00:00,2019,9,4,1100
http://localhost/data/Soundings/09_05_2018.kml,http://localhost/data/Soundings/09_05_2018.zip,http://localhost/data/Soundings/09_05_2018_Graphs,09_05_2018_0000,2018-09-05 00:00:00,2018,9,5,0000
http://localhost/data/Soundings/09_05_2019_1330Z.kml,http://localhost/data/Soundings/09_05_2019_1330Z.zip,http://localhost/data/Soundings/09_05_2019_1330Z_Graphs,09_05_2019_1330,2019-09-05 13:30:00,2019,9,5,1330
,http://localhost/data/Soundings/09_06_2017.zip,,09_06_2017_0000,2017-09-06 00:00:00,2017,9,6,0000
http://localhost/data/Soundings/09_06_2018.kml,http://localhost/data/Soundings/09_06_2018.zip,http://localhost/data/Soundings/09_06_2018_Graphs,09_06_2018_0000,2018-09-06 00:00:00,2018,9,6,0000
http://localhost/data/Soundings/09_06_2019_1330Z.kml,http://localhost/data/Soundings/09_06_2019_1330Z.zip,http://localhost/data/Soundings/09_06_2019_1330Z_Graphs,09_06_2019_1330,2019-09-06 13:30:00,2019,9,6,1330
http://localhost/data/Soundings/09_06_2019_1700Z.kml,http://localhost/data/Soundings/09_06_2019_1700Z.zip,http://localhost/data/Soundings/09_06_2019_1700Z_Graphs,09_06_2019_1700,2019-09-06 17:00:00,2019,9,6,1700
http://localhost/data/Soundings/09_07_2017.kml,http://localhost/data/Soundings/09_07_2017.zip,http://localhost/data/Soundings/09_07_2017_Graphs,09_07_2017_0000,2017-09-07 00:00:00,2017,9,7,0000
http://localhost/data/Soundings/09_07_2018.kml,http://localhost/data/Soundings/09_07_2018.zip,http://localhost/data/Soundings/09_07_2018_Graphs,09_07_2018_0000,2018-09-07 00:00:00,2018,9,7,0000
http://localhost/data/Soundings/09_07_2019_1130Z.kml,http://localhost/data/Soundings/09_07_2019_1130Z.zip,http://localhost/data/Soundings/09_07_2019_1130Z_Graphs,09_07_2019_1130,2019-09-07 11:30:00,2019,9,7,1130
http://localhost/data/Soundings/09_08_2018.kml,http://localhost/data/Soundings/09_08_2018.zip,http://localhost/data/Soundings/09_08_2018_Graphs,09_08_2018_0000,2018-09-08 00:00:00,2018,9,8,0000
,http://localhost/data/Soundings/09_08_2019_1500Z.zip,http://localhost/data/Soundings/09_08_2019_1500Z_Graphs,09_08_2019_1500,2019-09-08 15:00:00,2019,9,8,1500
http://localhost/data/Soundings/09_08_2019_1515Z.kml,,,09_08_2019_1515,2019-09-08 15:15:00,2019,9,8,1515
http://localhost/data/Soundings/09_09_2017.kml,http://localhost/data/Soundings/09_09_2017.zip,http://localhost/data/Soundings/09_09_2017_Graphs,09_09_2017_0000,2017-09-09 00:00:00,2017,9,9,0000
,,http://localhost/data/Soundings/09_09_2018_Graphs,09_09_2018_0000,2018-09-09 00:00:00,2018,9,9,0000
http://localhost/data/Soundings/09_09_2019_1330Z.kml,http://localhost/data/Soundings/09_09_2019_1330Z.zip,http://localhost/data/Soundings/09_09_2019_1330Z_Graphs,09_09_2019_1330,2019-09-09 13:30:00,2019,9,9,1330
http://localhost/data/Soundings/09_10_2018.kml,http://localhost/data/Soundings/09_10_2018.zip,http://localhost/data/Soundings/09_10_2018_Graphs,09_10_2018_0000,2018-09-10 00:00:00,2018,9,10,0000
http://localhost/data/Soundings/09_10_2019_1330Z.kml,http://localhost/data/Soundings/09_10_2019_1330Z.zip,http://localhost/data/Soundings/09_10_2019_1330Z_Graphs,09_10_2019_1330,2019-09-10 13:30:00,2019,9,10,1330
