post_type,post_title,post_content,post_excerpt,wpcf-flight_number,wpcf-takeoff_date_local,wpcf-takeoff_time_local_hm,wpcf-takeoff_airport,wpcf-takeoff_city,wpcf-landing_date_local,wpcf-landing_time_local_hm,wpcf-landing_airport,wpcf-landing_city,wpcf-flight_duration_hours,wpcf-release_altitude_feet,wpcf-maximum_altitude_feet,wpcf-maximum_gps_altitude_feet,wpcf-pilot_front,wpcf-pilot_rear,wpcf-data_ac,wpcf-data_adp,wpcf-data_imu,wpcf-data_kml,wpcf-data_uv,wpcf-takeoff_datetime_local_ymdhm,wpcf-takeoff_datetime_local,wpcf-landing_datetime_local_ymdhm,wpcf-landing_datetime_local
flight,Flight 0027,,,27,2017-04-11,1140,KMEV,"Minden, NV",2017-04-11,1254,KMEV,"Minden, NV",1.3,10000,12922,,Jim Payne,,,,,,,2017-04-11-1140,1491910800.0,2017-04-11-1254,1491915240.0
flight,Flight 0028,,,28,2017-04-22,0924,KMEV,"Minden, NV",2017-04-22,1239,KMEV,"Minden, NV",3.3,10200,29843,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0028/Flt0028AC.xlsx,,,,,2017-04-22-0924,1492853040.0,2017-04-22-1239,1492864740.0
flight,Flight 0029,new hatch indexing,new hatch indexing,29,2017-05-12,0830,KMEV,"Minden, NV",2017-05-12,1240,KMEV,"Minden, NV",4.2,9300,30492,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0029/Flt0029AC.xlsx,,,,,2017-05-12-0830,1494577800.0,2017-05-12-1240,1494592800.0
flight,Flight 0030,first Aero Boero tow,first Aero Boero tow,30,2017-07-18,1051,SAWC,El Calafate,2017-07-18,1133,SAWC,El Calafate,0.7,6200,6200,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0030/Flt0030AC.xlsx,,,,,2017-07-18-1051,1500375060.0,2017-07-18-1133,1500377580.0
flight,Flight 0031,,,31,2017-07-24,1346,SAWC,El Calafate,2017-07-24,1642,SAWC,El Calafate,2.9,12800,20100,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0031/Flt0031AC.xlsx,,,http://localhost/data/Flights/0031/Flt0031.kml,,2017-07-24-1346,1500903960.0,2017-07-24-1642,1500914520.0
flight,Flight 0032,,,32,2017-07-31,1054,SAWC,El Calafate,2017-07-31,1526,SAWC,El Calafate,4.5,10300,32579,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0032/Flt0032AC.xlsb,,,http://localhost/data/Flights/0032/Flt0032.kml,,2017-07-31-1054,1501498440.0,2017-07-31-1526,1501514760.0
flight,Flight 0033,,,33,2017-08-03,1254,SAWC,El Calafate,2017-08-03,1722,SAWC,El Calafate,4.5,9700,32460,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0033/Flt0033AC.xlsb,,,http://localhost/data/Flights/0033/Flt0033.kml,,2017-08-03-1254,1501764840.0,2017-08-03-1722,1501780920.0
flight,Flight 0034,,,34,2017-08-14,1006,SAWC,El Calafate,2017-08-14,1442,SAWC,El Calafate,4.6,10300,33204,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0034/Flt0034AC.xlsb,,,,,2017-08-14-1006,1502705160.0,2017-08-14-1442,1502721720.0
flight,Flight 0035,,,35,2017-08-19,1218,SAWC,El Calafate,2017-08-19,1650,SAWC,El Calafate,4.5,10300,22287,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0035/Flt0035AC.xlsb,,,http://localhost/data/Flights/0035/Flt0035.kml,,2017-08-19-1218,1503145080.0,2017-08-19-1650,1503161400.0
flight,Flight 0036,,,36,2017-08-24,1420,SAWC,El Calafate,2017-08-24,1744,SAWC,El Calafate,3.4,12650,16958,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0036/Flt0036AC.xlsb,,,http://localhost/data/Flights/0036/Flt0036.kml,,2017-08-24-1420,1503584400.0,2017-08-24-1744,1503596640.0
flight,Flight 0037,photo flight,photo flight,37,2017-08-30,1318,SAWC,El Calafate,2017-08-30,1412,SAWC,El Calafate,0.9,6700,6700,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0037/Flt0037AC.xlsx,,,http://localhost/data/Flights/0037/Flt0037.kml,,2017-08-30-1318,1504099080.0,2017-08-30-1412,1504102320.0
flight,Flight 0038,,,38,2017-09-03,0906,SAWC,El Calafate,2017-09-03,1544,SAWC,El Calafate,6.6,10556,53955,52172.0,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0038/Flt0038AC.xlsb,,,http://localhost/data/Flights/0038/Flt0038.kml,,2017-09-03-0906,1504429560.0,2017-09-03-1544,1504453440.0
flight,Flight 0039,,,39,2017-09-09,1259,SAWC,El Calafate,2017-09-09,1727,SAWC,El Calafate,4.5,9166,35006,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0039/Flt0039AC.xlsx,,,http://localhost/data/Flights/0039/Flt0039.kml,,2017-09-09-1259,1504961940.0,2017-09-09-1727,1504978020.0
flight,Flight 0040,,,40,2017-09-11,1044,SAWC,El Calafate,2017-09-11,1559,SAWC,El Calafate,5.2,8600,36127,,Jim Payne,,http://localhost/data/Flights/0040/Flt0040AC.xlsx,,,http://localhost/data/Flights/0040/Flt0040.kml,,2017-09-11-1044,1505126640.0,2017-09-11-1559,1505145540.0
flight,Flight 0041,,,41,2018-05-06,0900,KMEV,"Minden, NV",2018-05-06,0946,KMEV,"Minden, NV",0.8,10800,10800,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0041/Flt0041AC.xlsx,,,,http://localhost/data/Flights/0041/Flt0041UV.xlsx,2018-05-06-0900,1525597200.0,2018-05-06-0946,1525599960.0
flight,Flight 0042,,,42,2018-05-14,0923,KMEV,"Minden, NV",2018-05-14,0953,KMEV,"Minden, NV",0.5,8700,8700,,Jim Payne,,http://localhost/data/Flights/0042/Flt0042AC.xlsx,,,,http://localhost/data/Flights/0042/Flt0042UV.xlsx,2018-05-14-0923,1526289780.0,2018-05-14-0953,1526291580.0
flight,Flight 0043,,,43,2018-05-14,1003,KMEV,"Minden, NV",2018-05-14,1018,KMEV,"Minden, NV",0.3,7200,7200,,Jim Payne,,,,,,,2018-05-14-1003,1526292180.0,2018-05-14-1018,1526293080.0
flight,Flight 0044,,,44,2018-05-14,1027,KMEV,"Minden, NV",2018-05-14,1040,KMEV,"Minden, NV",0.2,6900,6900,,Jim Payne,,,,,,,2018-05-14-1027,1526293620.0,2018-05-14-1040,1526294400.0
flight,Flight 0045,TG & MS,TG & MS,45,2018-05-26,1028,KMEV,"Minden, NV",2018-05-26,1104,KMEV,"Minden, NV",0.6,8624,8624,,Tim Gardner,Morgan Sandercock,http://localhost/data/Flights/0045/Flt0045AC.xlsx,,,http://localhost/data/Flights/0045/Flt0045.kml,,2018-05-26-1028,1527330480.0,2018-05-26-1104,1527332640.0
flight,Flight 0046,First Egrett tow,First Egrett tow,46,2018-08-13,1432,SAWC,El Calafate,2018-08-13,1510,SAWC,El Calafate,0.6,11000,11000,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0046/Flt0046AC.xlsx,,,http://localhost/data/Flights/0046/Flt0046.kml,http://localhost/data/Flights/0046/Flt0046UV.xlsx,2018-08-13-1432,1534170720.0,2018-08-13-1510,1534173000.0
