post_title,wpcf-kml_file,wpcf-raw_file,wpcf-graphs_dir
2019-08-31 15:00,http://localhost/data/Soundings/08_31_2019_1500Z.kml,http://localhost/data/Soundings/08_31_2019_1500Z.zip,http://localhost/data/Soundings/08_31_2019_1500Z_Graphs
2018-09-01 00:00,http://localhost/data/Soundings/09_01_2018.kml,http://localhost/data/Soundings/09_01_2018.zip,http://localhost/data/Soundings/09_01_2018_Graphs
2017-09-02 00:00,,http://localhost/data/Soundings/09_02_2017.zip,
2018-09-02 00:00,http://localhost/data/Soundings/09_02_2018.kml,http://localhost/data/Soundings/09_02_2018.zip,http://localhost/data/Soundings/09_02_2018_Graphs
2017-09-03 00:00,,http://localhost/data/Soundings/09_03_2017.zip,http://localhost/data/Soundings/09_03_2017_Graphs
2018-09-04 00:00,http://localhost/data/Soundings/09_04_2018.kml,,
2018-09-04 15:30,,http://localhost/data/Soundings/09_04_2018_1530Z.zip,http://localhost/data/Soundings/09_04_2018_1530Z_Graphs
2018-09-04 17:00,,http://localhost/data/Soundings/09_04_2018_1700Z.zip,http://localhost/data/Soundings/09_04_2018_1700Z_Graphs
2019-09-04 00:00,,,http://localhost/data/Soundings/09_04_2019_Graphs
2019-09-04 11:00,http://localhost/data/Soundings/09_04_2019_1100Z.kml,http://localhost/data/Soundings/09_04_2019_1100Z.zip,
2018-09-05 00:00,http://localhost/data/Soundings/09_05_2018.kml,http://localhost/data/Soundings/09_05_2018.zip,http://localhost/data/Soundings/09_05_2018_Graphs
2019-09-05 13:30,http://localhost/data/Soundings/09_05_2019_1330Z.kml,http://localhost/data/Soundings/09_05_2019_1330Z.zip,http://localhost/data/Soundings/09_05_2019_1330Z_Graphs
2017-09-06 00:00,,http://localhost/data/Soundings/09_06_2017.zip,
2018-09-06 00:00,http://localhost/data/Soundings/09_06_2018.kml,http://localhost/data/Soundings/09_06_2018.zip,http://localhost/data/Soundings/09_06_2018_Graphs
2019-09-06 13:30,http://localhost/data/Soundings/09_06_2019_1330Z.kml,http://localhost/data/Soundings/09_06_2019_1330Z.zip,http://localhost/data/Soundings/09_06_2019_1330Z_Graphs
2019-09-06 17:00,http://localhost/data/Soundings/09_06_2019_1700Z.kml,http://localhost/data/Soundings/09_06_2019_1700Z.zip,http://localhost/data/Soundings/09_06_2019_1700Z_Graphs
2017-09-07 00:00,http://localhost/data/Soundings/09_07_2017.kml,http://localhost/data/Soundings/09_07_2017.zip,http://localhost/data/Soundings/09_07_2017_Graphs
2018-09-07 00:00,http://localhost/data/Soundings/09_07_2018.kml,http://localhost/data/Soundings/09_07_2018.zip,http://localhost/data/Soundings/09_07_2018_Graphs
2019-09-07 11:30,http://localhost/data/Soundings/09_07_2019_1130Z.kml,http://localhost/data/Soundings/09_07_2019_1130Z.zip,http://localhost/data/Soundings/09_07_2019_1130Z_Graphs
2018-09-08 00:00,http://localhost/data/Soundings/09_08_2018.kml,http://localhost/data/Soundings/09_08_2018.zip,http://localhost/data/Soundings/09_08_2018_Graphs
2019-09-08 15:00,,http://localhost/data/Soundings/09_08_2019_1500Z.zip,http://localhost/data/Soundings/09_08_2019_1500Z_Graphs
2019-09-08 15:15,http://localhost/data/Soundings/09_08_2019_1515Z.kml,,
2017-09-09 00:00,http://localhost/data/Soundings/09_09_2017.kml,http://localhost/data/Soundings/09_09_2017.zip,http://localhost/data/Soundings/09_09_2017_Graphs
2018-09-09 00:00,,,http://localhost/data/Soundings/09_09_2018_Graphs
2019-09-09 13:30,http://localhost/data/Soundings/09_09_2019_1330Z.kml,http://localhost/data/Soundings/09_09_2019_1330Z.zip,http://localhost/data/Soundings/09_09_2019_1330Z_Graphs
2018-09-10 00:00,http://localhost/data/Soundings/09_10_2018.kml,http://localhost/data/Soundings/09_10_2018.zip,http://localhost/data/Soundings/09_10_2018_Graphs
2019-09-10 13:30,http://localhost/data/Soundings/09_10_2019_1330Z.kml,http://localhost/data/Soundings/09_10_2019_1330Z.zip,http://localhost/data/Soundings/09_10_2019_1330Z_Graphs
2017-09-11 00:00,http://localhost/data/Soundings/09_11_2017.kml,http://localhost/data/Soundings/09_11_2017.zip,http://localhost/data/Soundings/09_11_2017_Graphs
2018-09-11 00:00,http://localhost/data/Soundings/09_11_2018.kml,http://localhost/data/Soundings/09_11_2018.zip,http://localhost/data/Soundings/09_11_2018_Graphs
