post_type,post_title,post_content,post_excerpt,flight_number,takeoff_airport,landing_airport,takeoff_datetime_local,landing_datetime_local,flight_duration_hours,release_altitude_feet,maximum_altitude_feet,maximum_gps_altitude_feet,pilot_front,pilot_rear,data_ac,data_adp,data_imu,data_kml,data_uv
flight,Flight 0032,,,32,SAWC,SAWC,2017-07-31 10:54,2017-07-31 15:26,4.5,10300,32579,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0032/Flt0032AC.xlsb,,,http://localhost/data/Flights/0032/Flt0032.kml,
flight,Flight 0033,,,33,SAWC,SAWC,2017-08-03 12:54,2017-08-03 17:22,4.5,9700,32460,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0033/Flt0033AC.xlsb,,,http://localhost/data/Flights/0033/Flt0033.kml,
flight,Flight 0034,,,34,SAWC,SAWC,2017-08-14 10:06,2017-08-14 14:42,4.6,10300,33204,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0034/Flt0034AC.xlsb,,,,
flight,Flight 0035,,,35,SAWC,SAWC,2017-08-19 12:18,2017-08-19 16:50,4.5,10300,22287,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0035/Flt0035AC.xlsb,,,http://localhost/data/Flights/0035/Flt0035.kml,
flight,Flight 0036,,,36,SAWC,SAWC,2017-08-24 14:20,2017-08-24 17:44,3.4,12650,16958,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0036/Flt0036AC.xlsb,,,http://localhost/data/Flights/0036/Flt0036.kml,
flight,Flight 0037,photo flight,photo flight,37,SAWC,SAWC,2017-08-30 13:18,2017-08-30 14:12,0.9,6700,6700,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0037/Flt0037AC.xlsx,,,http://localhost/data/Flights/0037/Flt0037.kml,
flight,Flight 0038,,,38,SAWC,SAWC,2017-09-03 09:06,2017-09-03 15:44,6.6,10556,53955,52172.0,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0038/Flt0038AC.xlsb,,,http://localhost/data/Flights/0038/Flt0038.kml,
flight,Flight 0039,,,39,SAWC,SAWC,2017-09-09 12:59,2017-09-09 17:27,4.5,9166,35006,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0039/Flt0039AC.xlsx,,,http://localhost/data/Flights/0039/Flt0039.kml,
flight,Flight 0040,,,40,SAWC,SAWC,2017-09-11 10:44,2017-09-11 15:59,5.2,8600,36127,,Jim Payne,,http://localhost/data/Flights/0040/Flt0040AC.xlsx,,,http://localhost/data/Flights/0040/Flt0040.kml,
flight,Flight 0041,,,41,KMEV,KMEV,2018-05-06 09:00,2018-05-06 09:46,0.8,10800,10800,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0041/Flt0041AC.xlsx,,,,http://localhost/data/Flights/0041/Flt0041UV.xlsx
flight,Flight 0042,,,42,KMEV,KMEV,2018-05-14 09:23,2018-05-14 09:53,0.5,8700,8700,,Jim Payne,,http://localhost/data/Flights/0042/Flt0042AC.xlsx,,,,http://localhost/data/Flights/0042/Flt0042UV.xlsx
flight,Flight 0043,,,43,KMEV,KMEV,2018-05-14 10:03,2018-05-14 10:18,0.3,7200,7200,,Jim Payne,,,,,,
flight,Flight 0044,,,44,KMEV,KMEV,2018-05-14 10:27,2018-05-14 10:40,0.2,6900,6900,,Jim Payne,,,,,,
flight,Flight 0045,TG & MS,TG & MS,45,KMEV,KMEV,2018-05-26 10:28,2018-05-26 11:04,0.6,8624,8624,,Tim Gardner,Morgan Sandercock,http://localhost/data/Flights/0045/Flt0045AC.xlsx,,,http://localhost/data/Flights/0045/Flt0045.kml,
flight,Flight 0046,First Egrett tow,First Egrett tow,46,SAWC,SAWC,2018-08-13 14:32,2018-08-13 15:10,0.6,11000,11000,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0046/Flt0046AC.xlsx,,,http://localhost/data/Flights/0046/Flt0046.kml,http://localhost/data/Flights/0046/Flt0046UV.xlsx
flight,Flight 0047,first high tow ,first high tow ,47,SAWC,SAWC,2018-08-14 15:00,2018-08-14 18:10,3.2,40000,40000,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0047/Flt0047AC.xlsb,,,,http://localhost/data/Flights/0047/Flt0047UV.xlsx
flight,Flight 0048,,,48,SAWC,SAWC,2018-08-17 13:48,2018-08-17 16:50,3.0,43800,43800,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0048/Flt0048AC.xlsb,,,http://localhost/data/Flights/0048/Flt0048.kml,http://localhost/data/Flights/0048/Flt0048UV.xlsx
flight,Flight 0049,,,49,SAWC,SAWC,2018-08-20 11:48,2018-08-20 17:04,5.3,42800,47200,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0049/Flt0049AC.xlsb,,,http://localhost/data/Flights/0049/Flt0049.kml,http://localhost/data/Flights/0049/Flt0049UV.xlsx
flight,Flight 0050,,,50,SAWC,SAWC,2018-08-26 12:54,2018-08-26 18:32,5.6,42200,62000,60669.0,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0050/Flt0050AC.xlsb,,,http://localhost/data/Flights/0050/Flt0050.kml,http://localhost/data/Flights/0050/Flt0050UV.xlsx
flight,Flight 0051,,,51,SAWC,SAWC,2018-08-28 13:21,2018-08-28 18:29,5.1,40200,65600,63776.0,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0051/Flt0051AC.xlsb,,,http://localhost/data/Flights/0051/Flt0051.kml,http://localhost/data/Flights/0051/Flt0051UV.xlsx
flight,Flight 0052,altitude record,altitude record,52,SAWC,SAWC,2018-09-02 11:41,2018-09-02 16:44,5.1,44300,76100,74295.0,Jim Payne,Tim Gardner,http://localhost/data/Flights/0052/Flt0052AC.xlsb,,,http://localhost/data/Flights/0052/Flt0052.kml,http://localhost/data/Flights/0052/Flt0052UV.xlsx
flight,Flight 0053,contrail visible,contrail visible,53,SAWC,SAWC,2018-09-10 14:11,2018-09-10 17:14,3.0,44100,45400,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0053/Flt0053AC.xlsb,,,http://localhost/data/Flights/0053/Flt0053.kml,http://localhost/data/Flights/0053/Flt0053UV.xlsx
flight,Flight 0054,highest tow,highest tow,54,SAWC,SAWC,2018-09-12 10:16,2018-09-12 13:03,2.8,45100,62900,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0054/Flt0054AC.xlsb,,,http://localhost/data/Flights/0054/Flt0054.kml,
flight,Flight 0055,,,55,KMEV,KMEV,2019-05-28 11:35,2019-05-28 12:10,0.6,9800,9800,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0055/Flt0055AC.xlsx,,http://localhost/data/Flights/0055/Flt0055IMU.zip,,http://localhost/data/Flights/0055/Flt0055UV.xlsx
flight,Flight 0056,,,56,KMEV,KMEV,2019-05-29 11:32,2019-05-29 12:08,0.6,9700,9700,,Jim Payne,Morgan Sandercock,,,http://localhost/data/Flights/0056/Flt0056IMU.zip,,
flight,Flight 0057,,,57,KMEV,KMEV,2019-06-01 10:42,2019-06-01 11:28,0.8,10700,10700,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0057/Flt0057AC.xlsx,,,,http://localhost/data/Flights/0057/Flt0057UV.xlsx
flight,Flight 0058,,,58,KMEV,KMEV,2019-06-03 09:33,2019-06-03 10:20,0.8,9700,9700,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0058/Flt0058AC.xlsx,http://localhost/data/Flights/0058/Flt0058ADP.zip,http://localhost/data/Flights/0058/Flt0058IMU.zip,,http://localhost/data/Flights/0058/Flt0058UV.xlsx
flight,Flight 0059,functional check,functional check,59,SAWC,SAWC,2019-08-20 12:16,2019-08-20 13:30,1.2,12100,12100,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0059/Flt0059AC.xlsx,http://localhost/data/Flights/0059/Flt0059ADP.zip,http://localhost/data/Flights/0059/Flt0059IMU.zip,http://localhost/data/Flights/0059/Flt0059.kml,http://localhost/data/Flights/0059/Flt0059UV.xlsx
flight,Flight 0060,,,60,SAWC,SAWC,2019-02-28 12:07,2019-02-28 15:54,3.8,45500,46800,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0060/Flt0060AC.xlsb,http://localhost/data/Flights/0060/Flt0060ADP.zip,http://localhost/data/Flights/0060/Flt0060IMU.zip,,http://localhost/data/Flights/0060/Flt0060UV.xlsx
flight,Flight 0061,,,61,SAWC,SAWC,2019-08-31 10:37,2019-08-31 14:30,3.9,46600,56300,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0061/Flt0061AC.xlsb,http://localhost/data/Flights/0061/Flt0061ADP.zip,http://localhost/data/Flights/0061/Flt0061IMU.zip,http://localhost/data/Flights/0061/Flt0061.kml,http://localhost/data/Flights/0061/Flt0061UV.xlsx
flight,Flight 0062,,,62,SAWC,SAWC,2019-09-06 13:33,2019-09-06 16:36,3.1,42000,42300,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0062/Flt0062AC.xlsb,http://localhost/data/Flights/0062/Flt0062ADP.zip,http://localhost/data/Flights/0062/Flt0062IMU.zip,http://localhost/data/Flights/0062/Flt0062.kml,http://localhost/data/Flights/0062/Flt0062UV.xlsx
flight,Flight 0063,tow height record,tow height record,63,SAWC,SAWC,2019-09-11 12:35,2019-09-11 18:11,5.6,47100,50600,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0063/Flt0063AC.xlsb,http://localhost/data/Flights/0063/Flt0063ADP.zip,http://localhost/data/Flights/0063/Flt0063IMU.zip,http://localhost/data/Flights/0063/Flt0063.kml,http://localhost/data/Flights/0063/Flt0063UV.xlsb
flight,Flight 0064,,,64,SAWC,SAWC,2019-09-14 09:13,2019-09-14 12:30,3.3,45100,49200,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0064/Flt0064AC.xlsb,http://localhost/data/Flights/0064/Flt0064ADP.zip,http://localhost/data/Flights/0064/Flt0064IMU.zip,http://localhost/data/Flights/0064/Flt0064.kml,http://localhost/data/Flights/0064/Flt0064UV.xlsb
flight,Flight 0065,Last flight of 2019,Last flight of 2019,65,SAWC,SAWC,2019-09-17 11:20,2019-09-17 16:50,5.5,51000,65000,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0065/Flt0065AC.xlsx,http://localhost/data/Flights/0065/Flt0065ADP.zip,http://localhost/data/Flights/0065/Flt0065IMU.zip,http://localhost/data/Flights/0065/Flt0065.kml,http://localhost/data/Flights/0065/Flt0065UV.xlsx
